Car Make,Car Model,Dealer or Individual,Price,Year,Location,Mileage,Doors,Color,Transmission,VIN#,Engine,Description,Web link,Screenshot
Toyota,Corolla,Dealer,16799,2019,"Fernelius Toyota in Cheboygan, MI",61807,4,Silver (ext) & Black (int),Automatic,2T1BURHE0KC161295,1.8L I4 DOHC,"Front-wheel drive, CVT transmission, automatic highbeam headlights, AM/FM/USB radio, backup camera",https://www.ferneliustoyota.net/inventory/used-2019-toyota-corolla-se-fwd-4d-sedan-2t1burhe0kc161295/,https://drive.google.com/open?id=1zXCuz7PcqJZAt8gzr8IrqGnNSbeKNrSk
Toyota,Rav4,Dealer,33999,2021,"Riverside Auto Mall  in Marquette, MI",35988,4,Silver Sky (ext) & Black (int),Automatic,2T3A1RFV3MW173876,I-4 cyl,"All-wheel drive, lane assist, power moonroof, bluetooth, rear parking camera, automatic highbeam headlights, remote keyless entry, heated door mirrors",https://www.riversidetoyotamarquette.com/used/Toyota/2021-Toyota-RAV4-496547170a0e0a931dba26b9a0e07c2a.htm,https://drive.google.com/open?id=1TtYkyqq7U6c14axBff9wEZelGtLWqzSe
Toyota,Rav4,Dealer,36575,2021,"Riverside Toyota in Escanaba, MI",18177,4,Silver Sky (ext) & Gray (int),Automatic,2T3N1RFV3MC146163,I-4 cyl,"All-wheel drive, parking sensors, navigation system, lane assist, bluetooth, power moonroof, remote keyless entry",https://www.riversidetoyotamarquette.com/used/Toyota/2021-Toyota-RAV4-edde4bd70a0e087f3e314f76f0db47a3.htm,https://drive.google.com/open?id=1wjIhrGArk56dIj5T1mZMsQPXeZO-olsu
Toyota,Rav4,Dealer,32999,2022,"Riverside Chrysler Dodge Jeep Ram Escanaba in Escanaba, MI",23043,4,Midnight Black (ext) & Black (int),Automatic,2T3P1RFV5NW280956,I-4 cyl,"Lane assist, rear parking camera, auto highbeam headlights, bluetooth, remote keyless entry, heated door mirrors",https://www.riversidetoyotamarquette.com/used/Toyota/2022-Toyota-RAV4-d00427b10a0e0a932cb60c1eca394605.htm,https://drive.google.com/open?id=1R9Ejfpz6u2eUl-Xi97B30Lt_TnbhD1zU
Toyota,Rav4,Dealer,26999,2021,"Riverside Auto Mall in Marquette, MI",52091,4,Gray (ext) & Black (int),Automatic,2T3P1RFV6MC246993,I-4 cyl,"Lane assist, rear parking camera, automatic highbeam headlights, bluetooth, remote keyless entry, heated door mirrors",https://www.riversidetoyotamarquette.com/certified/Toyota/2021-Toyota-RAV4-a7301ecd0a0e08345d414faa9bde3141.htm,https://drive.google.com/open?id=1o96XSGjg7SiaIgF6IUJ4tKVNU4ci5fuu
Toyota,Rav4,Dealer,30510,2018,"Riverside Toyota in Escanaba, MI",81981,4,Silver Sky (ext) & Black (int),Automatic,2T3RFREV6JW710841,I-4 cyl,"All-wheel drive, automatic highbeam headlights, lane assist, power moonroof, bluetooth capable, rear parking camera, adaptive cruise control, remote keyless entry",https://www.riversidetoyotamarquette.com/certified/Toyota/2018-Toyota-RAV4-ffc3eb0a0a0e08344873be82f69ff033.htm,https://drive.google.com/open?id=1K_Y5_LtAqNLYcakXqCmeF7tTkE_XgHEF
Toyota,Camry,Dealer,32999,2023,"Riverside Auto Mall in Marquette, MI",14153,4,Midnight Black (ext) & Black Perforated Leather (int),Automatic,4T1K61BK7PU076390,I-4 cyl,"All-wheel drive, Lane assist, automatic highbeam headlights, rear parking camera, bluetooth, heated front seats, heated door mirrors, remote keyless entry",https://www.riversidetoyotamarquette.com/used/Toyota/2023-Toyota-Camry-cc3f5b1b0a0e0a9a52c752718f4e2da2.htm,https://drive.google.com/open?id=11BcqQo_20L3Jyv2489jnTW1bnYGBdoKt
Toyota,Camry,Dealer,23322,2018,"Fernelius Toyota in Cheboygan, MI",39030,4,Celestial Silver Metallic (ext) & Stratus Gray with Piano Black (int),Automatic,4TB11HK8JU122516,2.5L I4 DOHC 16V,"Front wheel drive, 8-speed automatic transmission, real-time traffic display, backup camera",https://www.ferneliustoyota.net/inventory/certified-used-2018-toyota-camry-xle-fwd-4d-sedan-4t1b11hk8ju122516/,https://drive.google.com/open?id=112V4b6vMji1SAH_VvtBlcdIVuoiAvTfj
Toyota,Corolla,Dealer,19999,2020,"Riverside Auto Mall in Marquette, MI",64809,4,Black Sand Pearl (ext) & Black (int),Automatic,5YFEPRAE4LP097391,I-4 cyl,"Variable transmission, lane assist, bluetooth, rear parking camera, automatic highbeam headlights, remote keyless entry",https://www.riversidetoyotamarquette.com/certified/Toyota/2020-Toyota-Corolla-6e8f289d0a0e0a946b49a657419f9ab6.htm,https://drive.google.com/open?id=1jKXeQljAeCg40ColvypyVaG-rbv3IJVp
Toyota,Rav4,Dealer,19999,2018,"Riverside Auto Mall in Marquette, MI",167206,4,Galactic Aqua Mica (ext) & Leather (black) (int),Automatic,JTMDFREV5JJ184081,I-4 cyl,"All-wheel drive, Navigation system, lane assist, heated steering wheel, memory seat, heated front seats, 4 parking cameras, bluetooth, power moonroof, automatic highbeam headlights, heated door mirrors",https://www.riversidetoyotamarquette.com/used/Toyota/2018-Toyota-RAV4-c9ba77c30a0e087f3e314f76b88e19fb.htm,https://drive.google.com/open?id=1ONoOYPniqH0WfqVXMGo2GlL55MD5jd2U
Toyota,Corolla,Dealer,6495,2008,"Richmond, Virginia",165144,,DK. RED,Automatic,1NXBR32E88Z978514,,,https://www.eastendauto.com/windowsticker/vehicle/1175292/2008_TOYOTA_COROLLA,
Toyota,Corolla,Dealer,6900,2009,"Winchester, Virginia",178562,,Red,Automatic,2T1BU40E89C117649,4-cylinder,,https://www.iseecars.com/used_cars-t3017-red-2009-toyota-corolla-for-sale#id=100641258649,
